model,date,episode,time,reward,avg_reward,n_params
convnet,2021-12-14--00:02:37,0,3.1298444271087646,-24.33333333333329,-24.33333333333329,445955
convnet,2021-12-14--00:02:37,1,5.486614465713501,-18.485906040268333,-21.40961968680081,445955
convnet,2021-12-14--00:02:37,2,7.608776807785034,-17.911688311688195,-20.24364256176327,445955
convnet,2021-12-14--00:02:37,3,10.038422107696533,-17.928301886792305,-19.66480739302053,445955
convnet,2021-12-14--00:02:37,4,12.418865442276001,-22.13076923076919,-20.157999760570263,445955
convnet,2021-12-14--00:02:37,5,14.734432935714722,-18.013559322033778,-19.80059302081418,445955
convnet,2021-12-14--00:02:37,6,17.098219633102417,-17.93564013840823,-19.534171180470473,445955
convnet,2021-12-14--00:02:37,7,19.549782037734985,-17.985815602836784,-19.340626733266262,445955
convnet,2021-12-14--00:02:37,8,21.867878675460815,-17.982191780821687,-19.189689516327977,445955
convnet,2021-12-14--00:02:37,9,24.299015998840332,-20.321404682274192,-19.3028610329226,445955
convnet,2021-12-14--00:02:37,10,26.254573822021484,-17.908609271522984,-19.17611087279536,445955
convnet,2021-12-14--00:02:37,11,28.319672107696533,-17.97108433734936,-19.075691994841527,445955
convnet,2021-12-14--00:02:37,12,30.73276424407959,-17.97543252595132,-18.991056651080743,445955
convnet,2021-12-14--00:02:37,13,33.19400715827942,-17.918918918918653,-18.914475384497738,445955
convnet,2021-12-14--00:02:37,14,35.65906858444214,-17.8473282442746,-18.843332241816196,445955
convnet,2021-12-14--00:02:37,15,38.13243508338928,-2.343749999999697,-17.812108351702662,445955
convnet,2021-12-14--00:02:37,16,40.39856028556824,-17.8714285714285,-17.81559777639242,445955
convnet,2021-12-14--00:02:37,17,70.331467628479,-15.254237288135299,-17.673299971489243,445955
convnet,2021-12-14--00:02:37,18,72.82478666305542,-17.602996254681376,-17.669599775867777,445955
convnet,2021-12-14--00:02:37,19,75.25491952896118,-27.382822085889657,-18.155260891368872,445955
convnet,2021-12-14--00:02:37,20,77.61355710029602,-18.00457516339855,-18.14808538051314,445955
convnet,2021-12-14--00:02:37,21,80.31056070327759,-12.58741258741237,-17.89532752628129,445955
convnet,2021-12-14--00:02:37,22,82.66198897361755,-20.455555555555435,-18.006641788423643,445955
convnet,2021-12-14--00:02:37,23,85.20299458503723,-4.000000000000156,-17.423031713906,445955
convnet,2021-12-14--00:02:37,24,87.41825675964355,-17.983870967741755,-17.44546528405943,445955
convnet,2021-12-14--00:02:37,25,89.76407670974731,-20.521052631578847,-17.56375710511787,445955
convnet,2021-12-14--00:02:37,26,91.0667679309845,-17.909025270758015,-17.576544814956396,445955
convnet,2021-12-14--00:02:37,27,93.36550641059875,-18.030699088145802,-17.592764610427444,445955
convnet,2021-12-14--00:02:37,28,95.78527975082397,-17.957534246575126,-17.60534287374288,445955
convnet,2021-12-14--00:02:37,29,98.30424857139587,6.87022900763394,-16.789490477696987,445955
convnet,2021-12-14--00:02:37,30,100.16097712516785,-17.936559139784798,-16.826492692603047,445955
convnet,2021-12-14--00:02:37,31,102.65909957885742,-18.060431654676137,-16.86505328516783,445955
convnet,2021-12-14--00:02:37,32,105.18071174621582,-7.63052208835315,-16.585219006476475,445955
convnet,2021-12-14--00:02:37,33,107.74993181228638,-0.7352941176469471,-16.119044745040313,445955
convnet,2021-12-14--00:02:37,34,110.26928806304932,-16.349809885931343,-16.125638034780057,445955
convnet,2021-12-14--00:02:37,35,139.9541518688202,-18.02764505119449,-16.178471563013787,445955
convnet,2021-12-14--00:02:37,36,142.2265181541443,-17.96588628762536,-16.226780069084374,445955
convnet,2021-12-14--00:02:37,37,144.69954824447632,-17.863309352517717,-16.269846629174722,445955
convnet,2021-12-14--00:02:37,38,146.95609402656555,-22.755172413793073,-16.436137033908526,445955
convnet,2021-12-14--00:02:37,39,149.29421997070312,-17.936305732484048,-16.473641251372914,445955
convnet,2021-12-14--00:02:37,40,151.62176489830017,-17.89292929292924,-16.508258032874288,445955
convnet,2021-12-14--00:02:37,41,154.12934517860413,-17.97992277992262,-16.54329766970877,445955
